"","id","risq","NBCAV","SEXE","DATE_EER","AGE","tranche_age","PNB"
"31936",32350674,NA,NA,"F",1996-06-01,35,"35-39 ans",401.319227455162
"31937",32350675,1,1,"M",1991-07-01,42,"40-44 ans",633.49640992284
"31938",32350676,0,1,"M",1994-02-01,48,"45-49 ans",409.319359742555
"31939",32350677,1,1,"F",1998-09-09,71,"70-74 ans",412.503584888603
"31940",32350678,NA,0,"M",1995-09-01,36,"35-39 ans",17.2846665249142
"31941",32350681,2,1,"M",1995-11-01,64,"60-64 ans",2054.98488328563
"31942",32350682,1,1.5,"M",1993-12-01,42,"40-44 ans",328.358675735761
"31943",32350684,1,1,"F",1983-12-01,50,"50-54 ans",346.289473733185
"31944",32350685,1,0.5,"M",1986-11-01,73,"70-74 ans",466.630592981233
"31945",32350686,0,0.5,"M",1991-09-01,34,"30-34 ans",20.62191623986
"31946",32350688,2,1,"F",1979-05-01,78,"75-79 ans",201.08760638132
"31947",32350689,1,1,"F",1995-12-26,23,"23-24 ans",283.027536925961
"31948",32350692,0,0.5,"F",1987-08-01,52,"50-54 ans",898.616988395041
"31949",32350693,1,1,"F",1968-03-01,69,"65-69 ans",885.725717345872
"31950",32350694,1,2,"M",1987-08-01,51,"50-54 ans",776.892813893648
"31951",32350697,5,1,"F",1998-09-18,36,"35-39 ans",402.846929650818
"31952",32350699,1,1.5,"M",1995-07-01,37,"35-39 ans",361.595559749855
"31953",32350700,1,0.5,"F",1988-10-01,42,"40-44 ans",265.620847598809
"31954",32350702,1,0.5,"F",1975-03-01,80,"80 ans et +",734.275958089185
"31955",32350705,1,0.5,"M",1995-12-01,36,"35-39 ans",292.375834783337
"31956",32350708,1,1,"F",1980-12-01,91,"80 ans et +",1160.71722291371
"31957",32350709,1,1,"M",1997-02-01,30,"30-34 ans",206.913399344301
"31958",32350710,0,0.5,"M",1987-12-31,37,"35-39 ans",-508.130012780805
"31959",32350711,1,0.375,"F",1989-01-01,29,"28-29 ans",26.072527259627
"31960",32350713,1,1,"M",1992-05-01,59,"55-59 ans",9.57184185292542
"31961",32350718,1,1,"M",1979-05-01,58,"55-59 ans",561.989707448737
"31962",32350719,2,1,"M",1998-09-18,49,"45-49 ans",1370.81895877664
"31963",32350720,1,1,"F",1973-07-01,80,"80 ans et +",60.1844894642284
"31964",32350722,0,0.5,"F",1988-04-01,46,"45-49 ans",296.870582172586
"31965",32350723,1,0.5,"F",1968-10-01,82,"80 ans et +",188.013288059219
"31966",32350724,2,2,"M",1998-09-18,36,"35-39 ans",909.920961833878
"31967",32350730,0,0.5,"F",1991-11-01,59,"55-59 ans",28.6692215717443
"31968",32350733,1,1,"M",1975-02-01,66,"65-69 ans",753.904284619733
"31969",32350736,1,2,"F",1973-11-01,80,"80 ans et +",287.211406120462
"31970",32350738,0,0.5,"M",1986-12-01,78,"75-79 ans",538.645135858287
"31971",32350742,1,0.5,"F",1993-03-01,79,"75-79 ans",268.110517157457
"31972",32350744,1,1,"M",1998-09-18,53,"50-54 ans",20.8503626487194
"31973",32350746,1,0.5,"M",1980-08-01,56,"55-59 ans",370.136748415231
"31974",32350751,1,1,"F",1971-09-01,63,"60-64 ans",17.38490820399
"31975",32350760,NA,NA,"F",1995-01-01,88,"80 ans et +",0.00244920632308333
"31976",32350761,1,0.5,"M",1981-01-01,49,"45-49 ans",56.8599668250545
"31977",32350762,1,1,"M",1987-09-01,42,"40-44 ans",614.096257461882
"31978",32350766,1,0.5,"F",1981-01-01,50,"50-54 ans",56.8599668250545
"31979",32350767,1,1,"M",1998-09-18,38,"35-39 ans",12.4671757155045
"31980",32350768,5,1,"F",1991-07-01,67,"65-69 ans",686.26685929746
"31981",32350769,0,0.5,"M",1989-09-08,45,"45-49 ans",155.563905135664
"31982",32350770,5,1.5,"F",1994-04-01,41,"40-44 ans",2320.51266269442
"31983",32350771,0,0.5,"M",1970-03-01,91,"80 ans et +",81.1204074607571
"31984",32350774,1,1.5,"F",1998-09-18,31,"30-34 ans",1319.19237680149
"31985",32350775,NA,NA,"F",1976-07-01,61,"60-64 ans",95.1626571072391
"31986",32350776,1,1,"F",1976-08-01,75,"75-79 ans",3072.32543253724
"31987",32350780,1,1.5,"M",1995-12-01,35,"35-39 ans",721.143746656819
"31988",32350784,1,0.5,"F",1970-09-01,65,"65-69 ans",716.189993667326
"31989",32350786,1,1,"M",1998-09-18,35,"35-39 ans",24.56815775757
"31990",32350788,1,0.5,"F",1992-04-16,68,"65-69 ans",94.0808839647824
"31991",32350789,0,1,"F",1989-10-01,81,"80 ans et +",99.0549886801156
"31992",32350790,1,1,"M",1994-06-01,56,"55-59 ans",232.346820896398
"31993",32350793,1,0.5,"F",1995-11-01,79,"75-79 ans",789.669364584909
"31994",32350794,1,0.5,"F",1995-06-01,28,"28-29 ans",682.701557511607
"31995",32350795,1,0.5,"F",1983-06-01,62,"60-64 ans",198.50840703525
"31996",32350796,1,1,"M",1996-08-01,37,"35-39 ans",132.371081033509
"31997",32350798,NA,NA,"F",1971-01-01,63,"60-64 ans",80.2775743118513
"31998",32350800,1,0.5,"F",1989-12-01,61,"60-64 ans",639.049963795073
"31999",32350802,1,0.5,"F",1991-11-01,48,"45-49 ans",642.866653694115
"32000",32350803,1,0.5,"F",1970-12-01,65,"65-69 ans",535.429850129693
